,Cities,Date,Country,Lat,Long,Humidity,Max_temp,Clouds,Wind
0,Tuktoyaktuk,2018-12-16,CA,69.44,-133.03,83,-13.01,20,5.82
1,Punta Arenas,2018-12-16,CL,-53.16,-70.91,100,44.6,0,23.04
2,Chegutu,2018-12-16,ZW,-18.13,30.15,94,63.16,44,4.38
3,Cabo San Lucas,2018-12-16,MX,22.89,-109.91,68,69.8,90,2.24
4,Mataura,2018-12-16,NZ,-46.19,168.86,60,74.09,0,6.06
5,Port Blair,2018-12-16,IN,11.67,92.75,99,83.5,56,19.6
6,Busselton,2018-12-16,AU,-33.64,115.35,100,61.4,92,18.7
7,Bluff,2018-12-16,AU,-23.58,149.07,91,75.8,88,5.73
8,Lagoa,2018-12-16,PT,37.14,-8.45,93,51.8,75,4.7
9,Atuona,2018-12-16,PF,-9.8,-139.03,99,81.7,8,17.47
10,Qandala,2018-12-16,SO,11.47,49.87,100,59.56,44,6.4
11,Dunedin,2018-12-16,NZ,-45.87,170.5,84,64.37,44,4.16
12,Port Hedland,2018-12-16,AU,-20.31,118.58,45,87.8,0,23.04
13,Upernavik,2018-12-16,GL,72.79,-56.15,100,15.1,20,15.46
14,Taltal,2018-12-16,CL,-25.41,-70.49,96,56.95,20,1.59
15,Noumea,2018-12-16,NC,-22.28,166.46,45,87.8,40,16.11
16,Georgetown,2018-12-16,GY,6.8,-58.16,94,73.4,75,4.7
17,Lasa,2018-12-16,CY,34.92,32.53,58,60.8,0,9.17
18,Lazaro Cardenas,2018-12-16,MX,28.39,-105.62,45,44.6,75,2.71
19,Grindavik,2018-12-16,IS,63.84,-22.43,80,41.0,40,18.34
20,Camacha,2018-12-16,PT,33.08,-16.33,93,60.8,20,2.24
21,Pergamino,2018-12-16,AR,-33.9,-60.57,85,61.13,0,2.93
22,Bethel,2018-12-16,US,60.79,-161.76,82,-11.03,75,4.61
23,Vaini,2018-12-16,IN,15.34,74.49,87,66.2,0,8.75
24,New Norfolk,2018-12-16,AU,-42.78,147.06,57,77.0,40,5.82
25,Colombia,2018-12-16,CO,3.38,-74.8,63,66.53,0,1.59
26,Butaritari,2018-12-16,KI,3.07,172.79,100,83.45,56,7.52
27,Ushuaia,2018-12-16,AR,-54.81,-68.31,93,41.0,75,17.22
28,Victor Harbor,2018-12-16,AU,-35.55,138.62,82,66.2,75,16.11
29,Nikolskoye,2018-12-16,RU,59.7,30.79,92,19.4,75,4.47
30,Port Hawkesbury,2018-12-16,CA,45.62,-61.36,74,33.8,1,19.46
31,Kapaa,2018-12-16,US,22.08,-159.32,44,77.0,20,17.22
32,Dwarka,2018-12-16,IN,28.58,77.04,87,46.4,0,4.7
33,Victoria,2018-12-16,BN,5.28,115.24,79,87.8,75,4.7
34,Klaksvik,2018-12-16,FO,62.23,-6.59,93,41.0,92,36.91
